miRNA_name,LX-2,LX-2A,S-T1,S-T1A,H-T2,H-T2A
hsa-miR-1293,24,20,90,40,967,737
hsa-miR-1294,86,57,30,27,118,141
hsa-miR-129-5p,443,225,68,88,7,9
hsa-miR-1296-3p,5,2,0,1,1,0
hsa-miR-1296-5p,10539,4934,2494,8099,890,567
hsa-miR-1298-5p,0,0,1,0,1,4
hsa-miR-1299,2,4,0,6,14,19
hsa-miR-1301-3p,614,1024,4958,2525,1360,1645
hsa-miR-1302,0,4,5,5,0,0
hsa-miR-1303,17,39,238,613,319,353
hsa-miR-1304-3p,604,562,299,1062,182,469
hsa-miR-1304-5p,54,32,60,96,62,53
hsa-miR-1305,18,2,8,0,0,0
hsa-miR-1306-3p,72,63,206,98,91,59
hsa-miR-1306-5p,323,882,1263,731,541,459
hsa-miR-1307-3p,3582,7666,38866,25257,10014,24486
hsa-miR-1307-5p,2,5,3,8,3,3
hsa-miR-130a-3p,12783,7262,9396,9356,105,178
hsa-miR-130b-3p,1655,895,607,339,6340,1437
hsa-miR-130b-5p,3760,6148,3298,2333,4337,3701
hsa-miR-1322,3,1,0,0,0,0
hsa-miR-1323,0,0,3,1,1,0
hsa-miR-132-3p,21,101,1343,3295,32,260
hsa-miR-132-5p,1823,2060,3917,26047,894,1509
hsa-miR-133a-3p,21,299,28,710,28,148
hsa-miR-133b,6,27,9,20,6,20
hsa-miR-1343-3p,170,76,117,316,35,29
hsa-miR-1343-5p,12,15,282,201,82,53
hsa-miR-134-3p,273,685,0,0,0,0
hsa-miR-134-5p,2752,2435,76,1,0,2
hsa-miR-135a-5p,824,259,363,119,8961,7076
hsa-miR-135b-3p,3,12,52,361,98,42
hsa-miR-135b-5p,855,830,366,18858,8845,2934
hsa-miR-136-3p,975,1010,0,0,1,4
hsa-miR-136-5p,578,175,0,0,2,1
hsa-miR-137,7186,2723,290,3,641,691
hsa-miR-138-1-3p,79,23,78,13,2,0
hsa-miR-138-2-3p,0,1,37,5,0,0
hsa-miR-138-5p,14709,9585,18663,2775,418,128
hsa-miR-139-3p,218,344,220,175,1419,249
hsa-miR-139-5p,1666,2182,994,1769,4916,2573
hsa-miR-1-3p,24,213,18,547,8,68
hsa-miR-140-3p,4113,2087,1948,1634,1759,2266
hsa-miR-140-5p,15772,21978,9124,16341,6638,13627
hsa-miR-141-3p,15,17,117,137,793,624
hsa-miR-141-5p,2,5,21,30,59,185
hsa-miR-142-3p,180,43,5,38,2,18
hsa-miR-142-5p,30,11,3,22,0,3
hsa-miR-143-3p,1154,13693,54,11190,149,5288
hsa-miR-144-3p,1,1,0,1,1,0
hsa-miR-145-3p,20,95,0,76,1,49
hsa-miR-145-5p,127,1126,2,584,3,529
hsa-miR-1468-5p,276,327,146,9,33,101
hsa-miR-146a-3p,8,4,0,0,0,0
hsa-miR-146a-5p,158,465,4,5,59,13
hsa-miR-146b-3p,5,1,0,1,0,3
hsa-miR-146b-5p,4,12,13,2,17,11
hsa-miR-147b,6,3,13,4,24,19
hsa-miR-148a-3p,67,122,4512,11014,787,727
hsa-miR-148a-5p,0,0,1,2,0,0
hsa-miR-148b-3p,932,916,3368,5198,2927,4683
hsa-miR-148b-5p,21,10,20,56,60,84
hsa-miR-149-3p,56,41,35,12,42,33
hsa-miR-149-5p,28553,45056,27846,12674,37326,60200
hsa-miR-150-5p,33,115,63,72,36,98
hsa-miR-151a-3p,2162,4340,10439,4649,5847,15500
hsa-miR-151a-5p,103752,96875,192559,137150,141487,312814
hsa-miR-151b,103308,96383,191377,136332,141049,311293
hsa-miR-152-3p,6406,3462,2711,2646,1044,1288
hsa-miR-152-5p,11,4,2,13,0,2
hsa-miR-153-3p,33,13,23,7,17,8
hsa-miR-153-5p,0,0,1,1,2,3
hsa-miR-1537-3p,277,122,199,58,125,133
hsa-miR-1537-5p,18,3,1,1,1,4
hsa-miR-1538,3,3,26,21,5,7
hsa-miR-154-3p,846,559,13,2,4,1
hsa-miR-154-5p,2115,1803,13,5,0,8
hsa-miR-155-3p,283,233,0,7,0,0
hsa-miR-155-5p,145502,187007,137,4149,14,141
hsa-miR-1587,7,1,22,2,9,0
hsa-miR-15a-3p,226,142,79,154,42,93
hsa-miR-15a-5p,40543,25385,2900,13323,7372,12705
hsa-miR-15b-3p,2390,4181,3604,10076,5880,13278
hsa-miR-15b-5p,42232,35218,8696,49004,30447,44050
hsa-miR-16-1-3p,4,1,0,1,0,0
hsa-miR-16-2-3p,2597,1513,1454,2698,1776,2115
